编号	纳税人识别号,纳税人名称,信用级别,评价年度,税务机关
1,91230800829746533J,中国建设银行股份有限公司佳木斯分行,2018,国家税务总局佳木斯市向阳区税务局桥南税务分局
1,9123080094586625XW,中国太平洋财产保险股份有限公司佳木斯中心支公司,2018,国家税务总局佳木斯市前进区税务局第二税务所
1,91231221077781845K,黑龙江金品格纺织有限公司,2018,国家税务总局望奎县税务局第二税务分局
1,912312213086535930,望奎龙蛙农作物种植有限公司,2018,国家税务总局望奎县税务局先锋税务分局
1,912312215651548082,黑龙江广播电视网络股份有限公司望奎分公司,2018,国家税务总局望奎县税务局第二税务分局
1,91231221606439122B,望奎县农村信用合作联社,2018,国家税务总局望奎县税务局第二税务分局
1,912312216729352478,黑龙江双汇物流有限公司,2018,国家税务总局望奎县税务局第二税务分局
1,912312217819026554,黑龙江千鹤百盛医药有限公司,2018,国家税务总局望奎县税务局第二税务分局
1,91231222308642990W,兰西运诚物流有限公司,2018,国家税务总局兰西县税务局榆林税务分局
1,9123122268889366X8,黑龙江中电机械设备有限公司,2018,国家税务总局兰西县税务局榆林税务分局
1,91231223333264696P,青冈县华夏商贸集团有限责任公司生活超市,2018,国家税务总局青冈县税务局第二税务分局
1,91231223702822375L,黑龙江龙凤玉米开发有限公司,2018,国家税务总局青冈县税务局第二税务分局
1,912312007336583363,黑龙江澳利达奈德制药有限公司,2018,国家税务总局庆安县税务局第二税务分局
1,912312007396583456,中国太平洋财产保险股份有限公司绥化中心支公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200755345226P,黑龙江华辰大药房连锁有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200766024903X,绥化东亚物业管理有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200769249067Q,绥化市新苑建筑装饰工程有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200777858970W,天安财产保险股份有限公司绥化中心支公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200781938068H,绥化市兴业机械制造有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912312007860349731,黑龙江至诚清洁服务有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200795043476A,黑龙江省龙蛙农业发展股份有限公司,2018,国家税务总局望奎县税务局先锋税务分局
1,91231200MA18YH0E2R,绥化爱尔眼科医院有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91230800716613718U,佳木斯市郊区农村信用合作联社,2018,国家税务总局佳木斯市郊区税务局莲江口税务分局
1,91230800716614788A,多多药业有限公司,2018,国家税务总局哈尔滨市道里区税务局群力税务所
1,91230800716614817M,黑龙江多多集团有限责任公司,2018,佳木斯市东风区税务局税源管理二股
1,91230800726916261E,佳木斯防爆电机有限公司,2018,佳木斯市东风区税务局税源管理二股
1,912308007336702127,佳木斯市富伟建设监理有限公司,2018,佳木斯市向阳区税务局税源管理一股
1,91230800744432615R,黑龙江龙煤矿业工程设计研究院有限公司,2018,佳木斯市向阳区税务局税源管理一股
1,91230800752364878D,佳木斯中燃城市燃气发展有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230800755343466B,佳木斯市华祥五金工具有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230800758685568Y,佳木斯金天爱心药房连锁有限公司,2018,国家税务总局佳木斯市前进区税务局第二税务所
1,912312007110752442,中国农业发展银行绥化市分行,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912308005982038136,佳木斯汇明煤矿机械有限公司,2018,佳木斯市前进区税务局税源管理一股
1,91230800606542285D,约翰．迪尔（佳木斯）农业机械有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,912308006602099340,佳木斯凯华信息咨询有限公司,2018,佳木斯市前进区税务局税源管理一股
1,91230800663863077F,佳木斯华晋房地产开发有限公司,2018,国家税务总局佳木斯市向阳区税务局第二税务所
1,912308006638775242,佳木斯森赫木业有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230800677452930A,丰益（佳木斯）食品工业有限公司,2018,国家税务总局佳木斯市郊区税务局莲江口税务分局
1,91230800677478196G,佳木斯益海房地产开发有限公司,2018,国家税务总局佳木斯市郊区税务局莲江口税务分局
1,91230800688888473G,佳木斯安鑫建筑劳务有限公司,2018,国家税务总局佳木斯市向阳区税务局桥南税务分局
1,912308006952283426,佳木斯市宏源小额贷款有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230800711083244X,中国农业银行股份有限公司佳木斯顺和支行,2018,国家税务总局佳木斯市前进区税务局第二税务所
1,91230800569892744L,佳木斯华能电力设计有限公司,2018,国家税务总局佳木斯市前进区税务局第二税务所
1,91230800583822232R,佳木斯嘉德工贸有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,912308005838360600,佳木斯恒达教学设备有限责任公司,2018,佳木斯市前进区税务局税源管理一股
1,91230800592725047X,佳木斯新东方商贸有限公司,2018,佳木斯市向阳区税务局税源管理一股
1,912312006774595265,绥化市好德商贸有限公司,2018,国家税务总局绥化市北林区税务局永安税务所
1,91231200681409580Y,绥化市易达申通快递有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200681425417A,绥化市富阳汽车销售有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200692615750F,绥化谷润粮油贸易有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912312006926430576,阳光人寿保险股份有限公司绥化中心支公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912312007028045993,绥化市工程建设监理有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200414449975G,中国工商银行股份有限公司绥化分行,2018,国家税务总局望奎县税务局第二税务分局
1,9123120055132380XH,黑龙江利源电力集团有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912312005606246396,绥化东亚劳务派遣有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200569856209Y,绥化市香雪粮油食品经销有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912312005742457797,绥化新意匠超市有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912312005982196203,黑龙江龙采科技集团有限责任公司绥化分公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200606108585X,中粮生化能源（肇东）有限公司,2018,国家税务总局肇东市税务局第二税务分局
1,91231200660239906P,江海证券有限公司绥化奋斗街证券营业部,2018,国家税务总局绥化市北林区税务局第二税务分局
1,9123120066901093X4,绥化金达牧业有限公司,2018,国家税务总局绥化市北林区税务局永安税务所
1,9123120066902774X4,绥化市利民劳务服务有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,9123118176920212X2,北安市大龙种业有限责任公司,2018,国家税务总局北安市税务局赵光税务分局
1,91231182569882685F,五大连池市华飛农业机械有限公司,2018,国家税务总局五大连池市税务局青山税务分局
1,9123118270277297XE,国网黑龙江五大连池市沾河供电局有限公司,2018,国家税务总局黑龙江省沾河国有重点林区税务局税源管理股
1,912312000574482283,黑龙江省鸿都建筑安装工程有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912312000617703404,绥化锐金交通设施制造有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200073338475B,绥化鑫弘商贸有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912312000966766100,招商证券股份有限公司绥化人和街证券营业部,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912312001312080715,绥化市医药有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200308653809W,绥化乾钰商务服务有限公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91231200414449940X,绥化市政府机关液化气站,2018,国家税务总局绥化市北林区税务局第二税务分局
1,912311217027760817,黑河市宏安民用爆破器材有限责任公司嫩江分公司,2018,国家税务总局嫩江县税务局第二税务分局
1,91231121746998006J,嫩江县宝马农机有限责任公司,2018,国家税务总局嫩江县税务局立新税务所
1,91231121L0123221XN,嫩江县诚信家电有限责任公司,2018,国家税务总局嫩江县税务局嫩江税务分局
1,912311236729104617,黑龙江省龙达水电开发有限公司,2018,国家税务总局逊克县税务局第二税务分局
1,912311241317902254,孙吴县农业生产资料公司,2018,国家税务总局孙吴县税务局第二税务分局
1,9123118107330171XU,北安新文化广场发展有限公司,2018,国家税务总局北安市税务局第二税务分局
1,912311811317093860,北安市正大家电摩托车经销有限公司,2018,国家税务总局北安市税务局和平税务分局
1,91231181560609973J,黑龙江广播电视网络股份有限公司北安分公司,2018,国家税务总局北安市税务局北岗税务分局
1,91231181588121689K,黑龙江完达山沃康饲草有限公司,2018,国家税务总局北安市税务局第二税务分局
1,91231181702771563G,国网黑龙江北安市通北林区供电局有限公司,2018,国家税务总局北安市税务局通北税务分局
1,912311007369134005,黑河市兴旺液化石油气有限公司,2018,国家税务总局黑河市边境经济合作区税务局税源管理二股
1,9123110075532373X9,黑河市恒誉工程咨询股份有限公司,2018,国家税务总局黑河市爱辉区税务局第二税务分局
1,912311007905012555,黑河市盛安经贸有限责任公司,2018,国家税务总局黑河市边境经济合作区税务局税源管理一股
1,91231100831634274Q,中国工商银行股份有限公司黑河兴安支行,2018,国家税务总局黑河市爱辉区税务局第二税务分局
1,912311210903760788,嫩江县实在农业科技有限公司,2018,国家税务总局嫩江县税务局立新税务所
1,91231121131721131Q,嫩江春酿酒有限责任公司,2018,国家税务总局嫩江县税务局第二税务分局
1,91231121131724041R,嫩江县自来水公司,2018,国家税务总局嫩江县税务局第二税务分局
1,91231121551328192U,黑河华泰房地产开发有限责任公司嫩江分公司,2018,国家税务总局嫩江县税务局嫩江税务分局
1,912311215606269416,黑龙江诚信阳光大药房连锁有限公司,2018,国家税务总局嫩江县税务局墨尔根税务所
1,91231121692610546R,海通证券股份有限公司黑河嫩江嫩兴路证券营业部,2018,国家税务总局嫩江县税务局嫩江税务分局
1,9123108170264832X5,黑龙江联合石油化工有限公司,2018,牡丹江经济开发区税务局税源管理一股
1,91231081725341152M,绥芬河龙江商联进出口有限公司,2018,绥芬河市税务局第二税务分局
1,912310817692494545,绥芬河市元丰房地产开发有限责任公司,2018,绥芬河市税务局第二税务分局
1,91231081MA18X60L4Y,绥芬河市润东进出口有限公司,2018,绥芬河市税务局绥芬河税务分局
1,91231100669045374Y,中国邮政储蓄银行股份有限公司黑河市分行,2018,国家税务总局黑河市爱辉区税务局第二税务分局
1,91231100672938288J,黑河市安居房地产开发有限公司,2018,国家税务总局黑河市边境经济合作区税务局第二税务所
1,91231100692613157F,黑河市三龙商务有限责任公司,2018,国家税务总局黑河市边境经济合作区税务局税源管理一股
1,91231100695235075U,黑河市环球旅游有限公司,2018,国家税务总局黑河市爱辉区税务局第二税务分局
1,912311007027606969,中国移动通信集团黑龙江有限公司黑河分公司,2018,国家税务总局黑河市爱辉区税务局第二税务分局
1,912311007027615416,黑河大黑河岛港埠有限责任公司,2018,国家税务总局黑河市边境经济合作区税务局税源管理一股
1,912310813332381990,绥芬河市强泰经贸有限公司,2018,绥芬河市税务局绥芬河税务分局
1,9123108156063778XC,绥芬河市九日建筑安装工程有限公司,2018,绥芬河市税务局绥芬河税务分局
1,912310815742132593,绥芬河市祥源经贸有限公司,2018,绥芬河市税务局绥芬河税务分局
1,91231081583805926G,绥芬河市城东加油加气站有限公司,2018,绥芬河市税务局绥芬河税务分局
1,91231081583840967J,绥芬河市华茂经贸有限公司,2018,绥芬河市税务局绥芬河税务分局
1,9123108166020800XD,绥芬河市亿天顺经贸有限公司,2018,绥芬河市税务局绥芬河税务分局
1,91231081672930200W,阳光农业相互保险公司绥芬河支公司,2018,绥芬河市税务局绥芬河税务分局
1,912310816814154703,绥芬河市中正经贸有限公司,2018,绥芬河市税务局绥芬河税务分局
1,91231081688866936H,海通证券股份有限公司牡丹江绥芬河山城路证券营业部,2018,绥芬河市税务局第二税务分局
1,91231081688884624A,绥芬河市和平经贸有限公司,2018,绥芬河市税务局绥芬河税务分局
1,9123102558810319XW,黑龙江省林口林业局有限公司物资经销处,2018,林口县税务局古城税务分局
1,912310257496742856,林口县万资石墨加工有限公司,2018,林口县税务局林口税务分局
1,91231025MA18XTYE6N,林口县鑫发食品有限公司,2018,林口县税务局林口税务分局
1,91231081057438484G,绥芬河磊胜建材贸易有限公司,2018,绥芬河市税务局绥芬河税务分局
1,912310810832354377,绥芬河综合保税区阿穆尔贸易有限公司,2018,牡丹江市绥芬河综合保税区税务局税源管理股
1,91231081097761526T,绥芬河市鸿博进出口有限公司,2018,绥芬河市税务局绥芬河税务分局
1,912310813085056702,绥芬河海铁联捷国际货运代理有限公司,2018,牡丹江市绥芬河综合保税区税务局税源管理股
1,912310813086158379,绥芬河市航程木业有限公司,2018,绥芬河市税务局绥芬河税务分局
1,91231081333230816C,绥芬河市林柏装卸服务有限公司,2018,绥芬河市税务局绥芬河税务分局
1,9123110078602832XA,黑河市顺兴经贸有限公司,2018,国家税务总局黑河市边境经济合作区税务局税源管理二股
1,912310026814267276,牡丹江市时尚购物广场,2018,牡丹江市东安区税务局第二税务所
1,91231002L294421985,牡丹江市东安区家泰印务中心,2018,牡丹江市东安区税务局长安税务所
1,91231004728954077G,牡丹江市云龙橡胶制品厂,2018,牡丹江市爱民区税务局大庆税务所
1,91231005077793061J,牡丹江市公元义齿制作中心,2018,牡丹江市西安区税务局牡丹税务所
1,91231005731244201D,牡丹江市宏业碳化硼工程陶瓷厂,2018,牡丹江市西安区税务局温春税务所
1,91231024061777315H,东宁市绥阳润泽自来水有限公司,2018,东宁市税务局绥阳税务分局
1,912310245606455522,东宁市华兴食品有限责任公司,2018,东宁市税务局绥阳税务分局
1,912310246888929748,东宁市嘉兴贸易有限责任公司,2018,东宁市税务局东宁税务分局
1,91231024762737359Q,东宁市宏达医药连锁有限责任公司,2018,东宁市税务局绥阳税务分局
1,91231024MA18X7Q00U,东宁龙瑞国际贸易有限公司,2018,东宁市税务局东宁税务分局
1,91230800333402438W,佳木斯万达电影城有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230800556118944N,佳木斯鑫诚煤矿机械制造有限公司,2018,佳木斯市向阳区税务局税源管理一股
1,91230800569854035E,黑龙江安正工程管理咨询有限公司,2018,国家税务总局佳木斯市前进区税务局第二税务所
1,9123080056988519X3,佳木斯大诚建筑有限公司,2018,佳木斯市前进区税务局税源管理二股
1,912310007860314494,牡丹江苏宁易购销售有限公司,2018,牡丹江市西安区税务局第二税务分局
1,912310007950277243,牡丹江市南方鼎兴电讯有限公司,2018,牡丹江市东安区税务局七星税务所
1,91231000MA18W56C03,东宁团结煤矿有限公司,2018,东宁市税务局第二税务分局
1,91231000X063831372,中国铁路哈尔滨局集团有限公司牡丹江工务段,2018,海林市税务局横道河子税务分局
1,91231000X063831372,中国铁路哈尔滨局集团有限公司牡丹江工务段,2018,牡丹江市爱民区税务局黄花税务所
1,91231000X063831372,中国铁路哈尔滨局集团有限公司牡丹江工务段,2018,牡丹江市阳明区税务局磨刀石税务所
1,91231000746971276G,牡丹江市东阳电子有限公司,2018,牡丹江市西安区税务局先锋税务所
1,91231000749650443K,牡丹江方菱焊接设备有限责任公司,2018,牡丹江市爱民区税务局三道关税务所
1,912310007553054785,牡丹江市万通农机有限公司,2018,牡丹江市西安区税务局江滨税务所
1,912310007553360124,牡丹江哈牡快速客运有限公司,2018,牡丹江市西安区税务局第二税务分局
1,91231000762725585U,牡丹江药博士医药连锁有限公司,2018,牡丹江市爱民区税务局新华税务所
1,91231000766037958M,牡丹江市顺兴精密机械有限公司,2018,牡丹江市东安区税务局长安税务所
1,91231000772616403N,牡丹江百好戴维斯物业有限责任公司,2018,牡丹江市东安区税务局七星税务所
1,91231000781926390C,黑龙江北方阀业有限责任公司,2018,牡丹江市爱民区税务局城区税务所
1,91231000786000570J,牡丹江市江南塑料彩印有限公司,2018,牡丹江市西安区税务局牡丹税务所
1,91231000786027271N,牡丹江市乾丰电力设备有限公司,2018,牡丹江市西安区税务局先锋税务所
1,91231000721385609B,牡丹江中燃城市燃气发展有限公司,2018,牡丹江市阳明区税务局桦橡税务所
1,9123100072534381X1,牡丹江市华隆物业管理有限责任公司,2018,牡丹江市西安区税务局税源管理二股
1,91231000726910839X,牡丹江市宏达工程建设监理有限责任公司,2018,牡丹江市东安区税务局七星税务所
1,91231000726917213R,中国联合网络通信有限公司牡丹江市分公司,2018,牡丹江市西安区税务局第二税务分局
1,91231000733662108W,黑龙江北方双佳钻采机具有限责任公司,2018,牡丹江经济开发区税务局税源管理一股
1,91231000733675590H,牡丹江市林海石油打捞工具有限公司,2018,牡丹江市爱民区税务局城区税务所
1,91231000739659073Y,牡丹江市绿珠果蔬技术开发有限责任公司,2018,牡丹江市西安区税务局先锋税务所
1,91231000739669415D,牡丹江黑宝大药房有限公司,2018,牡丹江市东安区税务局七星税务所
1,912310007418438061,黑龙江北方工具有限公司,2018,牡丹江市爱民区税务局三道关税务所
1,912310007444012295,昆山润华商业有限公司牡丹江分公司,2018,牡丹江市东安区税务局第二税务所
1,91230800308587012Y,佳木斯华都物资有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,912308003086674266,黑龙江省健朗嘉业医疗器械有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,912308003105464713,佳木斯大润发商贸有限公司,2018,国家税务总局佳木斯市郊区税务局莲江口税务分局
1,912308003258224409,黑龙江海通化工有限公司,2018,佳木斯市前进区税务局税源管理一股
1,91230800325851508K,黑龙江浩宇电力物资有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,9123080033337545X9,黑龙江永辉超市有限公司佳木斯解放路店,2018,佳木斯市向阳区税务局税源管理一股
1,91230800556100875M,佳木斯市成钺物业管理有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230800565167051N,佳木斯力佳机动车驾驶人服务有限公司,2018,国家税务总局佳木斯市东风区税务局安庆税务所
1,91231000711096379N,牡丹江市江蓉纺织品有限公司,2018,牡丹江市西安区税务局先锋税务所
1,912310007166900433,牡丹江新闻传媒印务有限公司,2018,牡丹江市爱民区税务局黄花税务所
1,912306066926167379,黑龙江宏伟大同医药有限公司,2018,大庆市大同区税务局税源管理二股
1,91230800066069019L,佳木斯万达广场投资有限公司,2018,国家税务总局佳木斯市向阳区税务局第二税务所
1,91230800069163975B,佳木斯大拇指商贸有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230800073301218U,佳木斯市金地医疗器械有限公司,2018,佳木斯市前进区税务局税源管理一股
1,91230800073323804E,交通银行股份有限公司佳木斯分行,2018,国家税务总局佳木斯市向阳区税务局桥南税务分局
1,912308000950864599,佳木斯凯华运通汽车销售服务有限公司,2018,佳木斯市向阳区税务局税源管理一股
1,912308001297345151,中国石油天然气股份有限公司黑龙江佳木斯销售分公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230800129784387R,黑龙江省三江万和医药有限责任公司,2018,国家税务总局佳木斯市前进区税务局第二税务所
1,91230800129790031U,黑龙江沃尔德电缆有限公司,2018,国家税务总局佳木斯市郊区税务局莲江口税务分局
1,91230800308534586J,佳木斯佰信经贸有限公司,2018,佳木斯市向阳区税务局税源管理二股
1,91230605672935757Q,大庆市鑫隆宇劳务服务有限公司,2018,大庆市红岗区税务局税源管理二股
1,91230605755301610F,大庆油田龙丰实业公司,2018,大庆市红岗区税务局税源管理二股
1,9123060607779016XA,大庆盛旺劳务服务有限公司,2018,大庆市大同区税务局税源管理一股
1,91230606129472674Y,大庆市大同区新建电柱厂,2018,大庆市大同区税务局税源管理一股
1,91230606669040303L,大庆市大同区瑞丰印刷有限责任公司,2018,大庆市大同区税务局税源管理一股
1,93231181560646539D,北安市赵光镇国丰马铃薯种植专业合作社,2018,国家税务总局北安市税务局赵光税务分局
1,93231281551316052P,安达市春园苗圃种植专业合作社,2018,国家税务总局安达市税务局升平税务分局
1,93233001MA18X5L113,黑龙江省宝泉岭农垦海燕园艺种植农民专业合作社,2018,国家税务总局汤原县税务局汤原税务分局
1,9323300508323846XL,北安农垦鑫旺牧场专业合作社,2018,国家税务总局北安市税务局赵光税务分局
1,L23109074442176401,牡丹江市新阳房地产开发有限责任公司,2018,牡丹江市阳明区税务局税源管理二股
1,93230606077772527H,大庆市大同区刘刚果蔬种植专业合作社,2018,大庆市大同区税务局税源管理二股
1,9323062255131230X4,肇源县原古粮食种植专业合作社,2018,肇源县税务局新站税务分局
1,93230622MA18WF4A92,肇源县和平乡龙江海狐貉养殖专业合作社,2018,肇源县税务局第二税务分局
1,9323062369521619X7,林甸县博艺园林苗木农民专业合作社,2018,林甸县税务局东兴税务分局
1,932307223333734463,嘉荫县保兴镇和鑫农业种植专业合作社,2018,嘉荫县税务局乌拉嘎税务分局
1,932310816888704332,绥芬河市鑫源达畜禽养殖专业合作社,2018,绥芬河市税务局绥芬河税务分局
1,932310845513361179,宁安市瑞发大米专业合作社,2018,宁安市税务局渤海税务分局
1,932310846690210498,宁安市响石大米专业合作社,2018,宁安市税务局渤海税务分局
1,93231084681436028U,宁安市玄武湖大米专业合作社,2018,宁安市税务局渤海税务分局
1,932311215606058841,嫩江县后马鞍山现代农机专业合作社,2018,国家税务总局嫩江县税务局嫩江税务分局
1,932301845780649082,五常市溪浪禾种植农民专业合作社,2018,国家税务总局五常市税务局杜家税务分局
1,9323018459194765XD,五常市小稻夫水稻种植农民专业合作社,2018,国家税务总局五常市税务局安家税务分局
1,93230184598487772Y,五常市八旗御贡水稻种植农民专业合作社,2018,国家税务总局五常市税务局安家税务分局
1,93230184686024698C,五常市民乐乡士凯有机农业专业合作社,2018,国家税务总局五常市税务局安家税务分局
1,93230184690746167N,五常市立鑫种养殖农民专业合作社,2018,国家税务总局五常市税务局安家税务分局
1,93230184696803409T,五常市三缘多种经营农民专业合作社,2018,国家税务总局五常市税务局安家税务分局
1,93230184696845422L,五常市梅林种养殖农民专业合作社,2018,国家税务总局五常市税务局杜家税务分局
1,93230204066091216Q,齐齐哈尔市绿德蛋鸡养殖专业合作社,2018,国家税务总局齐齐哈尔市铁锋区税务局扎龙镇税务所
1,93230206592729160E,齐齐哈尔市富拉尔基宏运养牛专业合作社,2018,国家税务总局齐齐哈尔市富拉尔基区税务局长青税务所
1,93230603598225297H,大庆市保田庆龙保蔬菜专业合作社,2018,大庆市龙凤区税务局税源管理二股
1,93230184063656322U,五常市仓溢水稻种植农民专业合作社,2018,国家税务总局五常市税务局沙河子税务分局
1,93230184063678572A,五常市大正水稻种植农民专业合作社,2018,国家税务总局五常市税务局背荫河税务分局
1,9323018407002493XW,五常市寒地知青水稻种植农民专业合作社,2018,国家税务总局五常市税务局安家税务分局
1,932301840780610145,五常市野鸭岛水稻种植农民专业合作社,2018,国家税务总局五常市税务局安家税务分局
1,93230184086034374G,五常市顺恒水稻种植专业合作社,2018,国家税务总局五常市税务局背荫河税务分局
1,93230184300813169X,五常市彦国水稻种植农民专业合作社,2018,国家税务总局五常市税务局背荫河税务分局
1,932301843009012226,五常市水到渠成水稻种植专业合作社,2018,国家税务总局五常市税务局沙河子税务分局
1,93230184301128841T,五常市聚亿水稻种植农民专业合作社联社,2018,国家税务总局五常市税务局安家税务分局
1,93230184565449884J,五常新罗珠经济作物种植农民专业合作社,2018,国家税务总局五常市税务局安家税务分局
1,93230184571935686Y,五常市兴盛乡晶鑫水稻种植农民专业合作社,2018,国家税务总局五常市税务局沙河子税务分局
1,912330087813244108,哈尔滨市玉天鹅柜业有限公司,2018,国家税务总局哈尔滨市南岗区税务局王岗税务所
1,91233008MA1B7BF10P,哈尔滨农垦闫家岗农场供电有限公司,2018,国家税务总局哈尔滨市道里区税务局第六税务所
1,91233009606504123Q,国网黑龙江省绥化农垦铁力农场供电局有限公司,2018,铁力市税务局农场税务分局
1,912330097026806026,中油黑龙江农垦石油有限公司铁马加油站,2018,铁力市税务局农场税务分局
1,912330097289475201,黑龙江农垦通信有限公司绥化分公司,2018,国家税务总局绥化市北林区税务局第二税务分局
1,91233009741810457G,国网黑龙江肇源农场电业局有限公司,2018,肇源县税务局新站税务分局
1,91233009781947386F,黑龙江省绥化农垦鑫盛建筑工程有限公司,2018,国家税务总局绥棱县税务局第二税务分局
1,91233009L30892348L,绥化农垦宏泰加油站,2018,国家税务总局安达市税务局第二税务分局
1,93230104301178160W,哈尔滨踏绿蔬菜种植专业合作社,2018,国家税务总局哈尔滨市道外区税务局永源税务所
1,932301106968192832,哈尔滨市中亿养鸡专业合作社,2018,国家税务总局哈尔滨市香坊区税务局幸福税务所
1,912310007028534389,牡丹江东大集团股份有限公司,2018,牡丹江市西安区税务局火炬税务所
1,91231000702869325C,中国农业发展银行牡丹江市分行,2018,牡丹江市西安区税务局第二税务分局
1,91231000702897799F,中国人民财产保险股份有限公司牡丹江市分公司,2018,牡丹江市爱民区税务局向阳税务所
1,91231000702897799F,中国人民财产保险股份有限公司牡丹江市分公司,2018,牡丹江市西安区税务局第二税务分局
1,91233007414206121B,黑龙江省绿色草原牧场,2018,杜尔伯特蒙古族自治县税务局他拉哈税务分局
1,912330077289475391,黑龙江农垦通信有限公司齐齐哈尔分公司,2018,国家税务总局齐齐哈尔市龙沙区税务局城区税务所
1,91233007752351313Y,国网黑龙江省泰来农场电业局有限公司,2018,国家税务总局泰来县税务局税源管理股
1,912330080956437532,黑龙江农垦恒沣商贸有限公司,2018,国家税务总局哈尔滨市道里区税务局新农税务所
1,91233008325905131J,黑龙江晟源勘测设计有限公司,2018,国家税务总局哈尔滨市香坊区税务局幸福税务所
1,912330086802674536,中建龙江建设工程集团有限公司,2018,国家税务总局哈尔滨市道外区税务局第二税务所
1,91231000073347603F,牡丹江市兴工包装有限公司,2018,牡丹江市西安区税务局江滨税务所
1,91231000083239921J,大庆市府正工程管理咨询有限公司牡丹江分公司,2018,牡丹江市西安区税务局第二税务分局
1,91231000090358283H,牡丹江鑫诚商务信息咨询有限公司,2018,牡丹江市西安区税务局先锋税务所
